Time,Frames After Filter,Camera Index,Throughput,latency_constraint
0.3211153595508609,1,0,0.2,8.098841
0.8211153595508609,4,0,1.0,4.374043
1.321115359550861,6,0,2.2,10.559861
1.821115359550861,6,0,3.4,6.559861
2.321115359550861,5,0,4.4,5.465794
2.821115359550861,5,0,5.4,5.465794
3.321115359550861,6,0,6.6,14.559861
3.821115359550861,6,0,7.8,8.559861
4.321115359550861,6,0,9.0,12.559861
4.821115359550861,2,0,9.4,1.190029
5.321115359550861,2,0,9.8,12.190029
5.821115359550861,3,0,10.2,14.281418
6.321115359550861,4,0,10.2,13.374043
6.821115359550861,4,0,9.8,4.374043
7.321115359550861,2,0,9.0,6.190029
7.821115359550861,1,0,8.2,7.098841
8.321115359550861,4,0,8.0,9.374043
8.821115359550861,4,0,7.6,16.374043
9.321115359550861,3,0,7.0,12.281418
9.821115359550861,2,0,6.2,9.190029
10.321115359550861,6,0,7.0,13.559861
10.821115359550861,2,0,7.0,8.190029
11.321115359550861,6,0,7.6,15.559861
11.821115359550861,4,0,7.6,10.374043
12.321115359550861,1,0,7.0,1.098841
12.821115359550861,1,0,6.8,6.098841
13.321115359550861,4,0,7.4,17.374043
13.821115359550861,3,0,7.2,17.281418
14.321115359550861,5,0,7.4,20.465794
14.821115359550861,1,0,7.0,2.098841
15.321115359550861,6,0,7.8,7.559861
15.821115359550861,5,0,7.6,13.465794
16.32111535955086,1,0,7.4,14.098841
16.82111535955086,4,0,7.0,17.374043
17.32111535955086,1,0,6.4,14.098841
17.82111535955086,4,0,7.0,20.374043
18.32111535955086,4,0,7.6,9.374043
18.82111535955086,2,0,7.2,12.190029
19.32111535955086,1,0,6.8,18.098841
19.82111535955086,6,0,7.0,5.559861
20.32111535955086,2,0,7.2,7.190029
20.82111535955086,1,0,6.2,5.098841
21.32111535955086,4,0,6.0,8.374043
21.82111535955086,4,0,6.6,13.374043
22.32111535955086,1,0,6.0,16.098841
22.82111535955086,1,0,6.0,10.098841
23.32111535955086,5,0,6.2,8.465794
23.82111535955086,1,0,5.6,10.098841
24.32111535955086,5,0,6.2,17.465794
24.82111535955086,2,0,6.4,9.190029
25.32111535955086,4,0,6.0,3.374043
25.82111535955086,2,0,6.0,6.190029
26.32111535955086,6,0,7.0,18.559861
26.82111535955086,6,0,7.4,10.559861
27.32111535955086,4,0,7.4,8.374043
27.82111535955086,3,0,7.8,6.281418
28.32111535955086,4,0,8.4,5.374043
28.82111535955086,1,0,7.6,3.098841
29.32111535955086,2,0,7.8,3.190029
29.82111535955086,3,0,7.4,20.281418
30.32111535955086,1,0,7.2,15.098841
30.82111535955086,1,0,6.6,13.098841
31.32111535955086,5,0,7.2,9.465794
31.78251606590021,7,0,7.4,20.64948
31.82111535955086,2,0,7.8,4.190029
32.28251606590021,5,0,7.6,7.465794
32.32111535955086,1,0,7.8,2.098841
32.78251606590021,3,0,7.6,18.281418
32.82111535955086,5,0,8.6,4.465794
33.28251606590021,3,0,8.6,13.281418
33.32111535955086,4,0,9.4,11.374043
33.78251606590021,4,0,9.4,12.374043
33.82111535955086,7,0,10.8,15.64948
34.28251606590021,1,0,10.8,18.098841
34.32111535955086,3,0,11.4,8.281418
34.78251606590021,6,0,12.2,10.559861
34.82111535955086,1,0,12.4,7.098841
35.28251606590021,5,0,12.8,4.465794
35.32111535955086,1,0,13.0,17.098841
35.78251606590021,5,0,13.8,19.465794
35.82111535955086,5,0,14.8,13.465794
36.28251606590021,7,0,16.0,17.64948
36.32111535955086,1,0,16.2,8.098841
36.78251606590021,3,0,15.8,4.281418
36.82111535955086,6,0,15.6,17.559861
37.28251606590021,6,0,16.4,7.559861
37.32111535955086,3,0,16.0,17.281418
37.78251606590021,4,0,16.6,17.374043
37.82111535955086,3,0,16.6,19.281418
38.28251606590021,3,0,16.2,16.281418
38.32111535955086,4,0,16.4,9.374043
38.78251606590021,3,0,16.2,11.281418
38.82111535955086,1,0,15.6,3.098841
39.28251606590021,5,0,15.2,19.465794
39.32111535955086,4,0,15.8,10.374043
39.78251606590021,2,0,15.6,11.190029
39.82111535955086,2,0,14.8,16.190029
40.28251606590021,6,0,15.8,9.559861
40.32111535955086,4,0,15.6,14.374043
40.78251606590021,5,0,16.4,8.465794
40.82111535955086,2,0,15.8,4.190029
41.28251606590021,2,0,15.2,6.190029
41.32111535955086,7,0,15.2,8.64948
41.338193909996626,1,0,15.2,8.098841
41.78251606590021,7,0,16.6,18.64948
41.82111535955086,6,0,17.2,12.559861
41.838193909996626,3,0,16.6,5.281418
42.28251606590021,1,0,16.8,8.098841
42.32111535955086,4,0,16.4,3.374043
42.338193909996626,2,0,16.2,15.190029
42.78251606590021,5,0,17.2,17.465794
42.82111535955086,3,0,17.0,5.281418
42.838193909996626,3,0,17.0,18.281418
43.28251606590021,6,0,18.2,8.559861
43.32111535955086,2,0,18.0,8.190029
43.338193909996626,2,0,17.6,3.190029
43.78251606590021,3,0,18.2,11.281418
43.82111535955086,3,0,18.2,2.281418
43.838193909996626,6,0,19.2,19.559861
44.28251606590021,5,0,20.2,12.465794
44.32111535955086,7,0,20.6,19.64948
44.338193909996626,2,0,20.2,7.190029
44.78251606590021,3,0,20.8,8.281418
44.82111535955086,5,0,21.4,9.465794
44.838193909996626,4,0,21.8,7.374043
45.28251606590021,1,0,22.0,5.098841
45.32111535955086,2,0,21.2,11.190029
45.338193909996626,1,0,20.6,17.098841
45.78251606590021,3,0,21.2,19.281418
45.82111535955086,7,0,21.6,6.64948
45.838193909996626,2,0,21.6,2.190029
46.28251606590021,2,0,22.0,3.190029
46.32111535955086,5,0,22.6,18.465794
46.338193909996626,4,0,22.0,20.374043
46.78251606590021,1,0,22.0,20.098841
46.82111535955086,2,0,21.0,9.190029
46.838193909996626,1,0,20.0,6.098841
47.28251606590021,5,0,20.4,17.465794
47.32111535955086,2,0,20.6,11.190029
47.338193909996626,6,0,21.0,12.559861
47.78251606590021,1,0,20.8,1.098841
47.82111535955086,3,0,20.4,3.281418
47.838193909996626,1,0,20.0,17.098841
48.28251606590021,2,0,19.8,19.190029
48.32111535955086,1,0,18.8,5.098841
48.338193909996626,2,0,18.8,18.190029
48.78251606590021,1,0,18.6,9.098841
48.82111535955086,1,0,18.2,6.098841
48.838193909996626,4,0,18.4,15.374043
49.28251606590021,1,0,17.4,1.098841
49.32111535955086,2,0,16.8,16.190029
49.338193909996626,3,0,16.0,15.281418
49.78251606590021,1,0,15.8,20.098841
49.82111535955086,6,0,16.4,20.559861
49.838193909996626,6,0,16.6,15.559861
50.28251606590021,1,0,16.0,11.098841
50.32111535955086,4,0,16.6,4.374043
50.338193909996626,5,0,17.2,18.465794
50.78251606590021,2,0,17.4,1.190029
50.82111535955086,7,0,18.2,16.64948
50.838193909996626,5,0,17.8,20.465794
51.28251606590021,1,0,17.6,2.098841
51.32111535955086,1,0,17.4,7.098841
51.338193909996626,4,0,17.2,16.374043
51.78251606590021,1,0,16.6,15.098841
51.82111535955086,3,0,17.0,10.281418
51.838193909996626,6,0,17.8,15.559861
52.28251606590021,1,0,17.8,14.098841
52.32111535955086,4,0,17.6,12.374043
52.338193909996626,4,0,18.0,11.374043
52.78251606590021,1,0,17.0,6.098841
52.82111535955086,4,0,17.6,7.374043
52.838193909996626,1,0,17.2,13.098841
53.28251606590021,6,0,18.2,6.559861
53.32111535955086,5,0,18.8,7.465794
53.338193909996626,1,0,18.8,9.098841
53.78251606590021,6,0,19.6,17.559861
53.82111535955086,4,0,20.2,11.374043
53.838193909996626,3,0,20.6,9.281418
54.28251606590021,7,0,21.2,18.64948
54.32111535955086,3,0,21.6,6.281418
54.338193909996626,1,0,21.4,10.098841
54.78251606590021,5,0,21.8,5.465794
54.82111535955086,4,0,22.4,10.374043
54.838193909996626,1,0,21.4,12.098841
55.28251606590021,4,0,21.0,14.374043
55.32111535955086,6,0,22.0,13.559861
55.338193909996626,2,0,21.6,9.190029
55.78251606590021,3,0,21.2,6.281418
55.82111535955086,5,0,21.8,8.465794
55.838193909996626,3,0,21.0,16.281418
